Thillai Natarajar Temple, Chidambaram
Thiruvetkalam Pasupatheeswarar Temple, Annamalai Nagar
Thirunelvayil Arathurai Nathar Temple, Thirunelvayil
Thirukazhippalai Palvannanathar Temple, Sivapuri
Thirukanattumullur Pathanchali Nathar Temple, Kanattumullur
Thiru Naraiyur Soundareswarar Temple, Naraiyur
Thirukkadambur Amirthakadeswarar Temple, Melakadambur
Thiruvomampuliyur Pranava Vyakrapureeswarar Temple, Omampuliyur
Thiruppathiripuliyur Padaleeswarar Temple, Cuddalore
Thirumudhukundram Vruddhagireeswarar Temple, Vriddhachalam
Thiru Nallur Arulmozhitheechuram Temple, Nallur
Thiruppennagadam Sudarkozhundeeswarar Temple, Pennadam
Thiruthinai Nagar Theerthapureeswarar Temple, Theerthanagiri
Thiru Koodalaiyarrur Narthana Vallabeswarar Temple, Koodalaiyathur
Thiru Erukkathampuliyur Neelakandeswarar Temple, Rajendrapattinam
Thiru Kozhambam Kokileswarar Temple, Kozhambam
Thiru Kadavur Mayuranathar Temple, Mayiladuthurai
Thiru Valampuram Vaidhyanathar Temple, Valampuram
Thiru Needur Somanathaswamy Temple, Needur
Thiru Anniyur Agnipureeswarar Temple, Anniyur
Thiru Velvikudi Manavaleswarar Temple, Velvikudi
Thiru Ethirkolpadi Airavateswarar Temple, Mela Thirumanancheri
Thirumanancheri Uyyakondan Temple, Thirumanancheri
Thiru Kurakkukka Azhagiyanathar Temple, Kurakkukka
Thiru Vazhkoliputhur Manickavannar Temple, Thiruvaazhkoliputhur
Thiruppanandal Arunajadeswarar Temple, Thiruppanandal
Thiru Aappadi Pasupatheeswarar Temple, Aappadi
Thiru Chayavanam Chayavaneswarar Temple, Sayavanam
Thiru Pallavaneeswaram Pallavaneswarar Temple, Poompuhar
Thiru Venkadu Swetharanyeswarar Temple, Thiruvenkadu
Thirukattupalli Aranyeswarar Temple, Keezhthirukkattuppalli
Thiru Kollampudur Vilvavaneswarar Temple, Thirukollampudur
Thiru Semponpalli Swarnapureeswarar Temple, Semponnarkoil
Thirunalladai Nalladaiappar Temple, Nalladai
Thiru Aakkur Thanthonreeswarar Temple, Akkur
Thiru Thalainayar Kuttram Poruttha Nathar Temple, Thalaignayiru
Thiru Kurukkai Veeratteswarar Temple, Korukkai
Thiru Nintravur Nintriyur Nathar Temple, Thirunindriyur
Thiru Valithayam Valithayeswarar Temple, Padi
Thirukarkudi Uthirapatheeswarar Temple, Uyyakondan Thirumalai
Thiru Marugal Manickavannar Temple, Thirumarugal
Thiru Sathamangai Ayavandeeswarar Temple, Sathamangai
Thirunagaikaronam Kayarohanaswamy Temple, Nagapattinam
Thirusikkal Navaneetheswarar Temple, Sikkal
Thirukeezhvelur Kediliappar Temple, Keezhvelur
Thiruthevur Devapureeswarar Temple, Thevur
Thirupugalur Vardhamaneswaram Temple, Thirupugalur
Thirupanaiyur Soundareswarar Temple, Thiruppanaiyur
Thiru Vaimur Vaimur Nathar Temple, Thiruvaimur
Thirumaraikkadu Vedaranyeswarar Temple, Vedaranyam
Agathiyanpalli Agastheeswarar Temple, Agasthiyampalli
Thirukkodikka Kuzhagar Temple, Kodiakkarai
Idumbavanam Idumbavaneswarar Temple, Idumbavanam
Kadambar Koil, Iluppaippattu
Ooratchi Uchisthar Temple, Manjakollai
Karuveeli Sarguneswarar Temple, Karuveeli
Thittai Vasishteswarar Temple, Thittai
Pazhamannippadikkarai Neelakandeswarar Temple, Iluppapattu
Thiru Oomathnadu Omkareswarar Temple, Oomathnadu
Thiru Kollikkadu Pongu Saneswarar Temple, Thirukollikadu
Thiru Thelichery Parvatheeswarar Temple, Koilpathu
Thiru Karuppariyalur Kutram Poruttha Nathar Temple, Thalaignayiru
Thiru Punavayil Punavayil Nathar Temple, Sethubavachatram
Thiruvaanaikka Jambukeswarar Temple, Thiruvanaikaval
Thirupparaithurai Tharugavaneshwarar Temple, Thirupparaithurai
Thiruverumbur Erumbeeswarar Temple, Thiruverumbur
Thirunedungalam Nedungalathar Temple, Thirunedungulam
Thirukattuppalli Agneeswarar Temple, Thirukattupalli
Thiruvaiyaru Aiyarappar Temple, Thiruvaiyaru
Thiruppazhanam Apathsahayar Temple, Thirupazhanam
Thiruvedhikudi Vedapureeswarar Temple, Thiruvedhikudi
Thiru Chotruthurai Othavaneswarar Temple, Thiruchottruthurai
Thiru Kandiyur Veeratteswarar Temple, Thirukandiyur
Thiruppanthuruthi Pushpavananathar Temple, Thirupoonthuruthi
Thiru Neithanam Ghritasthaneswara Temple, Thillaisthanam
Thiruperumpuliyur Vyakrapureeswarar Temple, Perumpuliyur
Thiruppalamanam Chakravageswarar Temple, Thirupalanam
Thiru Alampozhil Atmanathar Temple, Thiruvalampozhil
Thirukkanamangai Jnanaparameswarar Temple, Thirukanamangai
Thiruvarur Thyagarajaswamy Temple, Thiruvarur
Thirupparavayunmandali Paravai Unmandali Thali Temple, Paravai
Thiru Vilamar Vilvanathar Temple, Vilamal
Thiru Karaveeram Karaveereswarar Temple, Karaviram
Thiruperuvelur Abhimuktheeswarar Temple, Manakkal Ayyampettai
Thalaiyalangadu Narthana Vallabeswarar Temple, Thalaiyalangadu
Andankoil Swarnapureeswarar Temple, Andan Koil
Thiru Venniyur Venniyurappar Temple, Kovilvenni
Thirupugalur Agnipureeswarar Temple, Thirupugalur
Thiruramanathapuram Ramanathaswamy Temple, Thirurameswaram
Thirupayathur Payatrunathar Temple, Thirupayathangudi
Thiruchenkattankudi Uthirapatheeswarar Temple, Thiruchengattankudi
Thirunannilam Madhuvaneswarar Temple, Nannilam
Srivanjiyam Vanchinadhaswamy Temple, Srivanjiyam
Thirunaraiyur Siddhanatheswarar Temple, Thirunaraiyur
Thiru Arisirkaraiputhur Padikkasunathar Temple, Azhagaputhur
Thiru Sivapuram Sivagurunathaswamy Temple, Sivapuram
Thirukarukudi Sarguneswarar Temple, Thirukarukudi
Thirukannapuram Ramanathaswamy Temple, Thirukannapuram
Thirunallam Nallam Nathar Temple, Konerirajapuram
Thirukollikadu Agneeswarar Temple, Thirukollikadu
Thiruthengur Vellimalainathar Temple, Thengur
Thirukottaiyur Kodeeswarar Temple, Kottaiyur
Thiruirumpoolai Nethrapureeswarar Temple, Keelaperumpallam
Thiru Ambar Brahmapureeswarar Temple, Ambal
Thiru Ambar Makalam Mahakalanathar Temple, Thirumahalam
Thiru Meeyachur Ilamkovil Sakalabhuvaneswarar Temple, Peralam
Thiru Meeyachur Meganathaswamy Temple, Peralam
Thilathaipathi Muktheeswarar Temple, Sethalapathy
Thirupampuram Paampuranathar Temple, Thirupampuram
Thiru Sirukudi Mangalanathaswamy Temple, Sirukudi
Thandalaineelnari Neelakandeswarar Temple, Thandalacheri
Thiru Valivalam Hridayakamalanathar Temple, Valivalam
Thiru Kaichinam Kaichineswarar Temple, Kachanam
Thiru Kollambudur Vilvavaneswarar Temple, Kollambudur
Thiru Pereyil Jagadeeswarar Temple, Koil Kannapur
Thalaichangadu Sankaranyeswarar Temple, Thalaichangadu
Thiru Aakkoor Thanthonriappar Temple, Akkur
Thiru Kadaimudi Kadaimudinathar Temple, Keezhaiyur
Thiru Dharmapuram Dharmapureeswarar Temple, Thirudharmapuram
Thirunallur Kalyanasundareswarar Temple, Nallur
Thiru Aavur Pasupatheeswarar Temple, Aavur
Thiru Sathimutham Sivakozhundeeswarar Temple, Thiru Sakthi Mutram
Palaiyarai Vadathali Somanathar Temple, Pazhayarai
Thiru Sakkarappalli Chakravageswarar Temple, Chakrapalli
Thirukarugavur Mullai Vana Nathar Temple, Thirukarukavur
Thiru Aavoor Pasupatheeswarar Temple, Govindagudi
Thirunallur Perumanam Sivalokanathar Temple, Achalpuram
Thiru Innambur Ezhutharinathar Temple, Innambur
Thiruppuravar Panangattur Panangattur Nathar Temple, Thirupanangattur
Thiruniyamam Niyamamudaiyar Temple, Thiruniyamam
Thirukattupalli Theeyaadiyaappar Temple, Keezh Tiru Kattupalli
Thiruvalanchuzhi Vadamoolanathar Temple, Thiruvalanchuzhi
Thandanthottam Nadanapureeswarar Temple, Thandanthottam
Thiruvazhamangalam Krupakupareswarar Temple, Thiruvaikavur
Thirukudavasal Koneswarar Temple, Kudavasal
Thiru Seruvili Sarguneswarar Temple, Cheruvili
Naattiyathankudi Rathnapureeswarar Temple, Naattiyathankudi
Thiru Panthanallur Pasupatheeswarar Temple, Pandanallur
Thiru Kanjanur Agneeswarar Temple, Kanjanur
Thirukkodikkaval Kodeeswarar Temple, Thirukodukaval
Thirumangalakudi Prananadeswarar Temple, Thirumangalakudi
Thiruvaikavur Vyagrapureeswarar Temple, Thiruvaikavur
Kalayanallur Amirthakadeswarar Temple, Sakkottai
Kudanthai Karonam Someswarar Temple, Kumbakonam
Kudanthai Keezhkottam Nageswarar Temple, Kumbakonam
Thiruvisayamangai Vijayanatheswarar Temple, Kovilacheri
Thiruvaikal Vaikal Nathar Temple, Thiruvaikal
Thiruvaduthurai Gomuktheeswarar Temple, Thiruvavaduthurai
Thiru Thuruthy Uthavedeeswarar Temple, Kuthalam
