slug,name,locality,state,wikipedia_search,wikidata_search,google_search
tamil-nadu-vaduvur-chakravarthi-thirumagan,"Chakravarthi Thirumagan","Vaduvur","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Chakravarthi%20Thirumagan%20Vaduvur%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Chakravarthi%20Thirumagan%20Vaduvur%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Chakravarthi%20Thirumagan%20Vaduvur%20Tamil%20Nadu%20temple
tamil-nadu-sriperumbudur-adhikesava-perumal,"Adhikesava Perumal","Sriperumbudur","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Adhikesava%20Perumal%20Sriperumbudur%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Adhikesava%20Perumal%20Sriperumbudur%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Adhikesava%20Perumal%20Sriperumbudur%20Tamil%20Nadu%20temple
tamil-nadu-sikkal-near-nagapattinam-kolavamanar,"Kolavamanar","Sikkal (near Nagapattinam)","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Kolavamanar%20Sikkal%20(near%20Nagapattinam)%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Kolavamanar%20Sikkal%20(near%20Nagapattinam)%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Kolavamanar%20Sikkal%20(near%20Nagapattinam)%20Tamil%20Nadu%20temple
tamil-nadu-kanchipuram-kamakoashtam-perumal,"Kamakoashtam Perumal","Kanchipuram","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Kamakoashtam%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Kamakoashtam%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Kamakoashtam%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple
tamil-nadu-madurantakam-karunakara-perumal,"Karunakara Perumal","Madurantakam","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Karunakara%20Perumal%20Madurantakam%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Karunakara%20Perumal%20Madurantakam%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Karunakara%20Perumal%20Madurantakam%20Tamil%20Nadu%20temple
karnataka-tondanur-near-melukote-nambi-narayana-temple,"Nambi Narayana Temple","Tondanur (near Melukote)","Karnataka",https://en.wikipedia.org/w/index.php?search=Nambi%20Narayana%20Temple%20Tondanur%20(near%20Melukote)%20Karnataka%20temple,https://www.wikidata.org/w/index.php?search=Nambi%20Narayana%20Temple%20Tondanur%20(near%20Melukote)%20Karnataka%20temple,https://www.google.com/search?q=Nambi%20Narayana%20Temple%20Tondanur%20(near%20Melukote)%20Karnataka%20temple
tamil-nadu-kanchipuram-pacchai-vanna-perumal,"Pacchai Vanna Perumal","Kanchipuram","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Pacchai%20Vanna%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Pacchai%20Vanna%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Pacchai%20Vanna%20Perumal%20Kanchipuram%20Tamil%20Nadu%20temple
andhra-pradesh-mangalagiri-vijayawada-region-panaka-narasimha,"Panaka Narasimha","Mangalagiri (Vijayawada region)","Andhra Pradesh",https://en.wikipedia.org/w/index.php?search=Panaka%20Narasimha%20Mangalagiri%20(Vijayawada%20region)%20Andhra%20Pradesh%20temple,https://www.wikidata.org/w/index.php?search=Panaka%20Narasimha%20Mangalagiri%20(Vijayawada%20region)%20Andhra%20Pradesh%20temple,https://www.google.com/search?q=Panaka%20Narasimha%20Mangalagiri%20(Vijayawada%20region)%20Andhra%20Pradesh%20temple
tamil-nadu-adhirangam-near-vedaranyam-renganathar,"Renganathar","Adhirangam (near Vedaranyam)","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Renganathar%20Adhirangam%20(near%20Vedaranyam)%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Renganathar%20Adhirangam%20(near%20Vedaranyam)%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Renganathar%20Adhirangam%20(near%20Vedaranyam)%20Tamil%20Nadu%20temple
tamil-nadu-thanthondri-malai-prasanna-venkatesar,"Prasanna Venkatesar","Thanthondri Malai","Tamil Nadu",https://en.wikipedia.org/w/index.php?search=Prasanna%20Venkatesar%20Thanthondri%20Malai%20Tamil%20Nadu%20temple,https://www.wikidata.org/w/index.php?search=Prasanna%20Venkatesar%20Thanthondri%20Malai%20Tamil%20Nadu%20temple,https://www.google.com/search?q=Prasanna%20Venkatesar%20Thanthondri%20Malai%20Tamil%20Nadu%20temple
